FECHA_CORTE,UUID,PERIODO_INGRESANTE,DEPARTAMENTO,PROVINCIA,DISTRITO,TIPO_ADMISION,ESCUELA,SEXO
20260527,$2b$12$LutYGct7MQ4JFxDx9yNbneVWTPY9pGgUnsD9EBGZR9uyw7nTWAj5.,2025-2,JUNIN,HUANCAYO,SICAYA,CEPRE ADMISION,CIENCIAS FORESTALES Y DEL AMBIENTE,FEMENINO
20260527,$2b$12$CFkun/fNZ3iyVjiv74N28uEC1AJPpICdhvIx1tIiy33h22adp/Oni,2025-2,JUNIN,JAUJA,HUERTAS,CEPRE ADMISION,CONTABILIDAD,MASCULINO
20260527,$2b$12$QM4RIuuxq/JwlbkWCtz9x.8A84viY1CczTjYz6/HNtLVMkQUuAqeG,2025-2,JUNIN,HUANCAYO,HUANCAYO,CEPRE ADMISION,CONTABILIDAD,FEMENINO
20260527,$2b$12$6u3Ta3IXRCNoe/cblGxbR.GXA7/TIBw6AxRuLqldH8D7zfqNODPem,2025-2,JUNIN,HUANCAYO,EL TAMBO,NORMAL ORDINARIO,CONTABILIDAD,FEMENINO
20260527,$2b$12$j22srEgDlm4nQyU/8I2POeKBvbFdYM1N7Sv51L5xYg5vd1hXdc9EW,2025-2,JUNIN,CONCEPCION,CONCEPCION,NORMAL ORDINARIO,CONTABILIDAD,FEMENINO
20260527,$2b$12$njisO59vSISktBMPpcE4zu.qHyGpilX1QKeEELJswP9EKsomByf3C,2025-2,JUNIN,HUANCAYO,HUANCAYO,NORMAL ORDINARIO,CONTABILIDAD,FEMENINO
20260527,$2b$12$/k6h5wK9txTxYBdCIY9hYeuHzzcd5PI6P9EUzXs7URTwnJDPHNeEi,2025-2,JUNIN,HUANCAYO,EL TAMBO,NORMAL ORDINARIO,CONTABILIDAD,MASCULINO
20260527,$2b$12$nE1mAWHbsgM4sB3xEmE2dOzOdf6OhA3tJqynBnJEGGOHnIfvtQeI.,2025-2,JUNIN,JAUJA,MARCO,CEPRE ADMISION,CONTABILIDAD,MASCULINO
20260527,$2b$12$Lqclr41wTdFZKXYtRNFoq.XfyzNYAqXTuTGdh.ofs2XT1M2hZdBtq,2025-2,JUNIN,HUANCAYO,PUCARA,NORMAL ORDINARIO,CONTABILIDAD,MASCULINO
20260527,$2b$12$MX6x68TgboGmn8bTsHN9Ye8kmZ6Jvu1cNqQ7aMnsKboiOd345MVBW,2025-2,JUNIN,HUANCAYO,CHILCA,NORMAL ORDINARIO,CONTABILIDAD,FEMENINO
20260527,$2b$12$6BtwFoXemz8MrCduR4HKQe6e.Zfc0ymJPDOyxgFpAdmdoZeoQmE1i,2025-2,JUNIN,HUANCAYO,HUAYUCACHI,NORMAL ORDINARIO,CONTABILIDAD,FEMENINO
20260527,$2b$12$yi1p5PbDDydq5rmItaPUN.ZBi4j6tEIUgKuXMirUgTWjCQWCvDYsS,2025-2,JUNIN,HUANCAYO,CHILCA,CEPRE ADMISION,CONTABILIDAD,FEMENINO
20260527,$2b$12$QnIaSy8BA1YKJnSvaWIUu.0v/vyq8/ZUBiGQuVWE7lJUA18.vGSF6,2025-2,JUNIN,HUANCAYO,EL TAMBO,NORMAL ORDINARIO,CONTABILIDAD,MASCULINO
20260527,$2b$12$bQDqGUKIFS1NZEy4gW43uuXIZ4b1NHIucUyjkKYtJy4utCBe808aa,2025-2,JUNIN,HUANCAYO,EL TAMBO,NORMAL ORDINARIO,CONTABILIDAD,FEMENINO
20260527,$2b$12$Km8Vf1a9QDlozVgV2uXghOMTvoq/J1m3f27W1w5iaB1k/FukRMLmy,2025-2,JUNIN,HUANCAYO,CHILCA,NORMAL ORDINARIO,CONTABILIDAD,MASCULINO
20260527,$2b$12$airMKNJh6W5AvTJqiOb5CeIh.0Lzi4BBfKagQtO31Jw5glAqhn1Ce,2025-2,JUNIN,HUANCAYO,SAN AGUSTIN,NORMAL ORDINARIO,CONTABILIDAD,FEMENINO
20260527,$2b$12$1mVju4Z4eW1HHwDkbsM7xuGQnjQGRpofLmZAOd5cXI3sDaSHkkWb2,2025-2,JUNIN,HUANCAYO,SAPALLANGA,CEPRE ADMISION,CONTABILIDAD,MASCULINO
20260527,$2b$12$Gi7IBUJhZpT..cz1bu2NaOStcjNW1hd4K2kgIngQj5jKbMNFfnYgm,2025-2,JUNIN,CHUPACA,TRES DE DICIEMBRE,NORMAL ORDINARIO,CONTABILIDAD,MASCULINO
20260527,$2b$12$raYfm0Gg8CjmEVPDKKE17.Iu4opIgVx9gRQo7U5EfXE0DWmIxDlHa,2025-2,JUNIN,HUANCAYO,SAN AGUSTIN,CEPRE ADMISION,CONTABILIDAD,FEMENINO
20260527,$2b$12$ZgnP6yBeGgLKmBwazFAYZONcUSVV6FlOf5HeVIGZqcjo8zZJh4.2K,2025-2,JUNIN,HUANCAYO,CHILCA,CEPRE ADMISION,CONTABILIDAD,MASCULINO
20260527,$2b$12$GN6cpJeCvgz7Cr84NEHr2.JEvF8nk3sFmvFzhJIFQPd28QJIaS4F.,2025-2,JUNIN,HUANCAYO,SANTO DOMINGO DE ACOBAMBA,NORMAL ORDINARIO,CONTABILIDAD,MASCULINO
20260527,$2b$12$bBnSuhOBDzi8qXNyrMHTuOI.zRMHQLOc7/KCDsaWSYioUnaEl1UbC,2025-2,JUNIN,HUANCAYO,EL TAMBO,NORMAL ORDINARIO,CONTABILIDAD,MASCULINO
20260527,$2b$12$dCDB/vSRaN3Y8/PuerU8t.nMsCQFe1nYEpQqOJQ32Zhg3kvhdti8.,2025-2,JUNIN,CONCEPCION,CONCEPCION,CEPRE ADMISION,CONTABILIDAD,MASCULINO
20260527,$2b$12$cMlNQbAyoJl74KdRSVCPbelt0VRkz5fDRMs/kMMGDMOzSvlHm7SjC,2025-2,JUNIN,HUANCAYO,SAN AGUSTIN,NORMAL ORDINARIO,CONTABILIDAD,FEMENINO
20260527,$2b$12$VSZcrlf3NNszvnz0ohdLg.9Dp81EdVUKIPM54JzUyuRnyotpD.uQi,2025-2,HUANCAVELICA,HUANCAVELICA,MOYA,CEPRE ADMISION,CONTABILIDAD,FEMENINO
20260527,$2b$12$BStrBSja9oE6paHZkBBwMeqlO59YBaUjeEI0x4QYIg8ZeSdbFtqx.,2025-2,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,NORMAL ORDINARIO,CONTABILIDAD,FEMENINO
20260527,$2b$12$XqkxI0zlGCJU27LSWvX2YejN9YZiCQP066oB5xs5EOWuAU9zlEgIu,2025-2,HUANCAVELICA,HUANCAVELICA,IZCUCHACA,CEPRE ADMISION,CONTABILIDAD,FEMENINO
20260527,$2b$12$b8EMM6WRFFMf9ePaa2mUWetWiSO1kzch5pY4IOmOAYWZ5wMe7UyDS,2025-2,JUNIN,HUANCAYO,EL TAMBO,NORMAL ORDINARIO,CONTABILIDAD,FEMENINO
